,idx,target,func
33,33,1," void Navigate(NavigateParams* params) {
     params->url = GURL(chrome::kExtensionInvalidRequestURL);
 #endif
 
  // The browser window may want to adjust the disposition.
  if (params->disposition == WindowOpenDisposition::NEW_POPUP &&
      source_browser && source_browser->window()) {
    params->disposition =
        source_browser->window()->GetDispositionForPopupBounds(
            params->window_bounds);
  }
   // Trying to open a background tab when in an app browser results in
   // focusing a regular browser window an opening a tab in the background
   // of that window. Change the disposition to NEW_FOREGROUND_TAB so that
"
34,34,1," static irqreturn_t armv7pmu_handle_irq(int irq_num, void *dev)
 		if (!armpmu_event_set_period(event, hwc, idx))
 			continue;
 
		if (perf_event_overflow(event, 0, &data, regs))
 			armpmu->disable(hwc, idx);
 	}
 
"
35,35,0," gsicc_open_search(const char* pname, int namelen, gs_memory_t *mem_gc,
     }
 
     /* First just try it like it is */
    if (gs_check_file_permission(mem_gc, pname, namelen, ""r"") >= 0) {
        str = sfopen(pname, ""r"", mem_gc);
        if (str != NULL) {
            *strp = str;
            return 0;
        }
     }
 
     /* If that fails, try %rom% */ /* FIXME: Not sure this is needed or correct */
"
36,36,1," PHPAPI php_url *php_url_parse_ex(char const *str, int length)
                goto nohost;
        }
 
       e = ue;

       if (!(p = memchr(s, '/', (ue - s)))) {
               char *query, *fragment;

               query = memchr(s, '?', (ue - s));
               fragment = memchr(s, '#', (ue - s));

               if (query && fragment) {
                       if (query > fragment) {
                               e = fragment;
                       } else {
                               e = query;
                       }
               } else if (query) {
                       e = query;
               } else if (fragment) {
                       e = fragment;
               }
       } else {
               e = p;
       }
 
        /* check for login and password */
        if ((p = zend_memrchr(s, '@', (e-s)))) {
"
37,37,1," void FaviconSource::StartDataRequest(const std::string& path,
   FaviconService* favicon_service =
       profile_->GetFaviconService(Profile::EXPLICIT_ACCESS);
   if (favicon_service) {
    FaviconService::Handle handle;
     if (path.empty()) {
       SendDefaultResponse(request_id);
       return;
     }
 
     if (path.size() > 8 && path.substr(0, 8) == ""iconurl/"") {
       // TODO : Change GetFavicon to support combination of IconType.
       handle = favicon_service->GetFavicon(
"
38,38,0," exsltFuncRegisterImportFunc (exsltFuncFunctionData *data,
     func = (exsltFuncFunctionData*)xmlHashLookup2(ch->hash, URI, name);
     if (func == NULL) {		/* Not yet present - copy it in */
 	func = exsltFuncNewFunctionData();
        if (func == NULL)
            return;
 	memcpy(func, data, sizeof(exsltFuncFunctionData));
 	if (xmlHashAddEntry2(ch->hash, URI, name, func) < 0) {
 	    xsltGenericError(xsltGenericErrorContext,
"
39,39,0,"char *dfaexec(struct dfa *d,const char *begin,char *end,int allow_nl,size_t *count,int *backref) 3555
state_num s ; 3558
state_num s1 ; 3559
const unsigned char * p ; 3561
state_num * * trans ; 3564
state_num * t ; 3565
unsigned char eol = eolbyte ; 3567
s = s1 = 0; 3572
p = ( ( const unsigned char * ) begin ); 3573
trans = d -> trans; 3574
* end = eol; 3576
if ( d -> mb_cur_max > 1 )  3588
while ( ( t = trans [ s ] ) != ( ( void * ) 0 ) )  3589
if ( p > buf_end )  3590
s1 = s; 3593
if ( s == 0 )  3594
if ( ( ( char * ) p ) >= end )  3597
if ( d -> states [ s ] . mbps . nelem == 0 )  3605
s = t [ * ( p ++ ) ]; 3606
if ( backref )  3613
s = transit_state ( d , s , & p ); 3622
trans = d -> trans; 3623
while ( ( t = trans [ s ] ) != ( ( void * ) 0 ) )  3627
s1 = t [ * ( p ++ ) ]; 3628
if ( ( t = trans [ s1 ] ) == ( ( void * ) 0 ) )  3629
state_num tmp = s ; 3630
s = s1; 3631
s1 = tmp; 3633
s = t [ * ( p ++ ) ]; 3636
if ( s >= 0 && ( ( char * ) p ) <= end && d -> fails [ s ] )  3639
if ( d -> success [ s ] & sbit [ * p ] )  3640
s1 = s; 3651
if ( d -> mb_cur_max > 1 )  3652
s = transit_state ( d , s , & p ); 3655
trans = d -> trans; 3656
s = d -> fails [ s ] [ * ( p ++ ) ]; 3659
if ( ( ( char * ) p ) > end )  3673
if ( s >= 0 )  3681
trans = d -> trans; 3683
if ( p [ - 1 ] == eol && allow_nl )  3686
s = d -> newlines [ s1 ]; 3687
s = 0; 3690
static state_num transit_state(struct dfa *d,state_num s,const unsigned char **pp) 3436
state_num s1 ; 3438
int mbclen ; 3440
int maxlen = 0 ; 3441
size_t i ; 3442
size_t nelem = d -> states [ s ] . mbps . nelem ; 3446
position_set follows ; 3447
const unsigned char * p1 = * pp ; 3448
wchar_t wc ; 3449
if ( nelem > 0 )  3450
match_lens = check_matching_with_multibyte_ops ( d , s , ( * pp - buf_begin ) ); 3455
static int *check_matching_with_multibyte_ops(struct dfa *d,state_num s,size_t idx) 3356
size_t i ; 3358
int * rarray ; 3359
rarray = ( ( sizeof ( ( * rarray ) ) == 1 ? xmalloc ( d -> states [ s ] . mbps . nelem ) : xnmalloc ( d -> states [ s ] . mbps . nelem , sizeof ( ( * rarray ) ) ) ) ); 3361
while ( 0 )  3362
for (i = 0; i < d -> states[s] . mbps . nelem; ++i) 3363
position pos = d -> states [ s ] . mbps . elems [ i ] ; 3364
switch ( d -> tokens [ pos . index ] )  3365
rarray [ i ] = match_anychar ( d , s , pos , idx ); 3368
static int match_anychar(struct dfa *d,state_num s,position pos,size_t idx) 3231
int context ; 3233
wchar_t wc ; 3234
int mbclen ; 3235
wc = inputwcs [ idx ]; 3236
mbclen = ( mblen_buf [ idx ] == 0 ? 1 : mblen_buf [ idx ] ); 3237
if ( wc == ( ( wchar_t ) eolbyte ) )  3239
if ( ! ( syntax_bits & ( ( unsigned long ) 1 ) << 1 << 1 << 1 << 1 << 1 << 1 ) )  3240
return 0 ; 3241
if ( wc == ( ( wchar_t ) '\0' ) )  3245
if ( syntax_bits & ( ( unsigned long ) 1 ) << 1 << 1 << 1 << 1 << 1 << 1 << 1 )  3246
return 0 ; 3247
context = wchar_context ( wc ); 3251
static int wchar_context(wint_t wc) 635
if ( wc == ( ( wchar_t ) eolbyte ) || wc == 0 )  637
return 4 ; 638
if ( wc == '_' || iswalnum ( wc ) )  640
return 2 ; 641
return 1 ; 643
if ( ! ( ( ( ( context & 1 ? pos . constraint & 0xf : 0 ) ) | ( ( context & 2 ? pos . constraint >> 4 & 0xf : 0 ) ) | ( ( context & 4 ? pos . constraint >> 8 & 0xf : 0 ) ) ) & d -> states [ s ] . context ) )  3252
return 0 ; 3253
return mbclen ; 3255
rarray [ i ] = match_mb_charset ( d , s , pos , idx ); 3373
static int match_mb_charset(struct dfa *d,state_num s,position pos,size_t idx) 3262
size_t i ; 3264
int match ; 3266
int match_len ; 3269
int op_len ; 3271
char buffer [ 128 ] ; 3272
struct mb_char_classes * work_mbc ; 3274
int context ; 3275
wchar_t wc ; 3277
wc = inputwcs [ idx ]; 3278
if ( wc == ( ( wchar_t ) eolbyte ) )  3280
if ( ! ( syntax_bits & ( ( unsigned long ) 1 ) << 1 << 1 << 1 << 1 << 1 << 1 ) )  3281
return 0 ; 3282
if ( wc == ( ( wchar_t ) '\0' ) )  3286
if ( syntax_bits & ( ( unsigned long ) 1 ) << 1 << 1 << 1 << 1 << 1 << 1 << 1 )  3287
return 0 ; 3288
context = wchar_context ( wc ); 3292
static int wchar_context(wint_t wc) 635
if ( wc == ( ( wchar_t ) eolbyte ) || wc == 0 )  637
return 4 ; 638
if ( wc == '_' || iswalnum ( wc ) )  640
return 2 ; 641
return 1 ; 643
if ( ! ( ( ( ( context & 1 ? pos . constraint & 0xf : 0 ) ) | ( ( context & 2 ? pos . constraint >> 4 & 0xf : 0 ) ) | ( ( context & 4 ? pos . constraint >> 8 & 0xf : 0 ) ) ) & d -> states [ s ] . context ) )  3293
return 0 ; 3294
work_mbc = & d -> mbcsets [ d -> multibyte_prop [ pos . index ] >> 2 ]; 3297
match = ! work_mbc -> invert; 3298
match_len = ( mblen_buf [ idx ] == 0 ? 1 : mblen_buf [ idx ] ); 3299
if ( wc < 1 << 8 && work_mbc -> cset != ( - 1 ) && tstbit ( ( ( unsigned char ) wc ) , d -> charclasses [ work_mbc -> cset ] ) )  3301
static int tstbit(unsigned int b,const int c[((1 << 8) + 8 * sizeof(int ) - 1) / (8 * sizeof(int ))]) 541
return c [ b / ( 8 * sizeof ( int ) ) ] & 1 << b % ( 8 * sizeof ( int ) ) ; 543
for (i = 0; i < work_mbc -> nch_classes; i++) 3305
if ( iswctype ( ( ( wint_t ) wc ) , work_mbc -> ch_classes [ i ] ) )  3306
strncpy ( buffer , ( ( const char * ) buf_begin ) + idx , match_len ); 3310
buffer [ match_len ] = '\0'; 3311
for (i = 0; i < work_mbc -> nequivs; i++) 3313
op_len = ( strlen ( work_mbc -> equivs [ i ] ) ); 3314
strncpy ( buffer , ( ( const char * ) buf_begin ) + idx , op_len ); 3315
buffer [ op_len ] = '\0'; 3316
if ( strcoll ( work_mbc -> equivs [ i ] , buffer ) == 0 )  3317
match_len = op_len; 3318
for (i = 0; i < work_mbc -> ncoll_elems; i++) 3323
op_len = ( strlen ( work_mbc -> coll_elems [ i ] ) ); 3324
strncpy ( buffer , ( ( const char * ) buf_begin ) + idx , op_len ); 3325
buffer [ op_len ] = '\0'; 3326
if ( strcoll ( work_mbc -> coll_elems [ i ] , buffer ) == 0 )  3327
match_len = op_len; 3328
for (i = 0; i < work_mbc -> nranges; i++) 3333
if ( work_mbc -> range_sts [ i ] <= wc && wc <= work_mbc -> range_ends [ i ] )  3334
for (i = 0; i < work_mbc -> nchars; i++) 3339
if ( wc == work_mbc -> chars [ i ] )  3340
match = ! match; 3344
return match ? match_len : 0 ; 3346
return rarray ; 3381
for (i = 0; i < nelem; i++) 3456
if ( match_lens [ i ] > maxlen )  3460
maxlen = match_lens [ i ]; 3461
if ( nelem == 0 || maxlen == 0 )  3465
wc = inputwcs [ * pp - mbclen - buf_begin ]; 3485
s1 = state_index ( d , ( & follows ) , wchar_context ( wc ) ); 3486
while ( * pp - p1 < maxlen )  3488
transit_state_consume_1char ( d , s1 , pp , ( ( void * ) 0 ) , & mbclen , & follows ); 3489
wc = inputwcs [ * pp - mbclen - buf_begin ]; 3496
s1 = state_index ( d , ( & follows ) , wchar_context ( wc ) ); 3497
static status_transit_state transit_state_consume_1char(struct dfa *d,state_num s,const unsigned char **pp,int *match_lens,int *mbclen,position_set *pps) 3390
state_num s1 ; 3395
s1 = s; 3404
copy ( ( & d -> states [ s1 ] . elems ) , pps ); 3410
static void copy(const position_set *src,position_set *dst) 2213
if ( dst -> alloc <= src -> nelem )  2216
size_t new_n_alloc = src -> nelem + ( ! dst -> elems ) ; 2217
dst -> elems = ( x2nrealloc ( ( dst -> elems ) , & new_n_alloc , sizeof ( ( * dst -> elems ) ) ) ); 2218
dst -> alloc = new_n_alloc; 2219
while ( 0 )  2221
memcpy ( ( dst -> elems ) , ( src -> elems ) , sizeof ( dst -> elems [ 0 ] ) * src -> nelem ); 2222
dst -> nelem = src -> nelem; 2223

"
40,40,1," void oz_hcd_pd_reset(void *hpd, void *hport)
 /*
  * Context: softirq
  */
void oz_hcd_get_desc_cnf(void *hport, u8 req_id, int status, const u8 *desc,
			int length, int offset, int total_size)
 {
 	struct oz_port *port = hport;
 	struct urb *urb;
"
41,41,0,"static void good2() 145
if ( STATIC_CONST_TRUE )  147
char * password = ( char * ) malloc ( 100 * sizeof ( char ) ) ; 150
password [ 0 ] = '\0'; 156
if ( fgets ( password , 100 , stdin ) == NULL )  157
password [ 0 ] = '\0'; 161
passwordLen = strlen ( password ); 164
if ( passwordLen > 0 )  165
password [ passwordLen - 1 ] = '\0'; 167
password = realloc ( password , 200 * sizeof ( char ) ); 187
strcpy ( password , ""Nothing to see here"" ); 189
printLine ( password ); 190
void printLine (const char * line) 10
if ( line != NULL )  12
printf ( ""%s
"" , line ); 14
free ( password ); 191

"
42,42,0,"void av_url_split(char *proto,int proto_size,char *authorization,int authorization_size,char *hostname,int hostname_size,int *port_ptr,char *path,int path_size,const char *url) 4158
const char * p ; 4160
const char * ls ; 4161
const char * ls2 ; 4162
const char * at ; 4163
const char * col ; 4165
const char * brk ; 4166
if ( p = ( strchr ( url , ':' ) ) )  4183
p ++; 4186
if ( ( * p ) == '/' )  4187
p ++; 4188
if ( ( * p ) == '/' )  4190
p ++; 4191
ls = ( strchr ( p , '/' ) ); 4200
ls2 = ( strchr ( p , 63 ) ); 4201
if ( ! ls )  4202
ls = ls2; 4203
if ( ls && ls2 )  4206
ls = ( ls > ls2 ? ls2 : ls ); 4207
if ( ls )  4210
ls = & p [ strlen ( p ) ]; 4215
if ( ls != p )  4218
while ( ( at = ( strchr ( p , '@' ) ) ) && at < ls )  4221
p = at + 1; 4224
if ( ( * p ) == '[' && ( brk = ( strchr ( p , ']' ) ) ) && brk < ls )  4226
if ( ( col = ( strchr ( p , ':' ) ) ) && col < ls )  4234
av_strlcpy ( hostname , p , ( col + 1 - p > hostname_size ? hostname_size : col + 1 - p ) ); 4235
* port_ptr = atoi ( col + 1 ); 4237

"
43,43,1," SPL_METHOD(SplFileObject, fgets)
 SPL_METHOD(SplFileObject, current)
 {
 	spl_filesystem_object *intern = (spl_filesystem_object*)zend_object_store_get_object(getThis() TSRMLS_CC);
	
 	if (zend_parse_parameters_none() == FAILURE) {
 		return;
 	}
"
44,44,0,"static void goodB2G2() 86
int64_t * data ; 88
if ( staticReturnsTrue ( ) )  90
static int staticReturnsTrue() 25
return 1 ; 27
data = ( int64_t * ) calloc ( 100 , sizeof ( int64_t ) ); 93
printLongLongLine ( data [ 0 ] ); 96
void printLongLongLine (int64_t longLongIntNumber) 46
printf ( ""%lld
"" , longLongIntNumber ); 48
free ( data ); 101

"
45,45,0,"static void goodG2B() 53
list < int64_t * > dataList ; 56
goodG2BSink ( dataList ); 64
void goodG2BSink(list<int64_t *> dataList) 51
int64_t * data = dataList . back ( ) ; 53
int64_t source [ 100 ] = { 0 } ; 55
size_t i ; 57
for (i = 0; i < 100; i++) 59
data [ i ] = source [ i ]; 61
free ( data ); 64

"
46,46,0," void PrintMsg_Print_Params::Reset() {
   display_header_footer = false;
   title = base::string16();
   url = base::string16();
  header_template = base::string16();
  footer_template = base::string16();
   should_print_backgrounds = false;
   printed_doc_type = printing::SkiaDocumentType::PDF;
 }
"
47,47,1," void NavigationRequest::OnStartChecksComplete(
           : frame_tree_node_->frame_tree()->root()->current_url();
 
   // Walk the ancestor chain to determine whether all frames are same-site. If
  // not, the |site_for_cookies| is set to an empty URL.
   //
   // TODO(mkwst): This is incorrect. It ought to use the definition from
   // 'Document::SiteForCookies()' in Blink, which special-cases extension
"
48,48,0,"static ssize_t
sg_write(struct file *filp, const char __user *buf, size_t count, loff_t * ppos) 583
int input_size , blocking ; 586
Sg_device * sdp ; 588
Sg_fd * sfp ; 589
struct sg_header old_hdr ; 591
if ( ( ! ( sfp = ( Sg_fd * ) filp -> private_data ) ) || ( ! ( sdp = sfp -> parentdp ) ) )  595
if ( atomic_read ( & sdp -> detaching ) )  599
if ( ! ( ( filp -> f_flags & O_NONBLOCK ) || scsi_block_when_processing_errors ( sdp -> device ) ) )  601
if ( ! access_ok ( VERIFY_READ , buf , count ) )  605
if ( count < SZ_SG_HEADER )  607
if ( __copy_from_user ( & old_hdr , buf , SZ_SG_HEADER ) )  609
blocking = ! ( filp -> f_flags & O_NONBLOCK ); 611
if ( old_hdr . reply_len < 0 )  612
return sg_new_write ( sfp , filp , buf , count , blocking , 0 , 0 , NULL ) ; 613
static ssize_t
sg_new_write(Sg_fd *sfp, struct file *file, const char __user *buf,
size_t count, int blocking, int read_only, int sg_io_owned,
Sg_request **o_srp) 692
Sg_request * srp ; 695
if ( count < SZ_SG_IO_HDR )  701
if ( ! access_ok ( VERIFY_READ , buf , count ) )  703
sfp -> cmd_q = 1; 706
if ( ! ( srp = sg_add_request ( sfp ) ) )  707
static Sg_request *
sg_add_request(Sg_fd * sfp) 2044
int k ; 2046
Sg_request * resp ; 2048
Sg_request * rp = sfp -> req_arr ; 2049
resp = sfp -> headrp; 2052
if ( ! resp )  2053
if ( 0 == sfp -> cmd_q )  2059
if ( k < SG_MAX_QUEUE )  2066
memset ( rp , 0 , sizeof ( Sg_request ) ); 2067
rp -> parentfp = sfp; 2068
resp -> nextrp = rp; 2071
resp = rp; 2072
if ( resp )  2077
resp -> nextrp = NULL; 2078
resp -> header . duration = jiffies_to_msecs ( jiffies ); 2079
return resp ; 2082

"
49,49,0,"static int stonesoup_ev_handler(struct mg_connection *conn, enum mg_event ev) 317
char * ifmatch_header ; 318
char * stonesoup_tainted_buff ; 319
int buffer_size = 1000 ; 320
if ( ev == MG_REQUEST )  322
ifmatch_header = ( char * ) mg_get_header ( conn , ""if-match"" ); 323
if ( strcmp ( ifmatch_header , ""weak_taint_source_value"" ) == 0 )  324
while ( 1 )  325
stonesoup_tainted_buff = ( char * ) malloc ( buffer_size * sizeof ( char ) ); 326
data_size = mg_get_var ( conn , ""data"" , stonesoup_tainted_buff , buffer_size * sizeof ( char ) ); 328
if ( data_size < buffer_size )  329
buffer_size = buffer_size * 2; 333
stonesoup_handle_taint ( stonesoup_tainted_buff ); 337
void stonesoup_handle_taint(char *oscilloscopic_acheulian) 4948
int hangers_regald ; 4950
char * kurbashed_twelve [ 51 ] = { 0 } ; 4953
if ( oscilloscopic_acheulian != 0 )  4955
kurbashed_twelve [ 8 ] = oscilloscopic_acheulian; 4956
hangers_regald = 1; 4957
heterosomata_vichy = kurbashed_twelve; 4958
nubilities_royetness = ( ( char * * ) ( ( ( unsigned long ) heterosomata_vichy ) * hangers_regald * hangers_regald ) ) + 5; 4959
pavestone_minni ( nubilities_royetness ); 4960
void pavestone_minni(char **xylenes_bursautee) 4964
int stonesoup_my_buff_size ; 4968
genie_oberosterreich = ( ( char * ) ( xylenes_bursautee - 5 ) [ 8 ] ); 4971
stonesoup_my_buff_size = ( ( int ) ( strlen ( genie_oberosterreich ) ) ); 4979
for (; stonesoup_ss_i < stonesoup_my_buff_size; ++stonesoup_ss_i) 4980

"
